rho,len,bkpt
0.0,2000,2.0
0.0,2500,2.0
0.0,3000,2.0
0.0,3500,2.0
0.0,4000,2.0
0.0,4500,2.0
0.0,5000,2.0
0.0,5500,2.0
0.0,6000,2.0
0.0,6500,2.0
0.0,7000,2.0
0.0,7500,2.0
0.0,8000,2.0
0.0,8500,2.0
0.0,9000,2.0
0.0,9500,2.0
0.0,10000,2.0
2.0080321285140563,2000,11.176
2.0080321285140563,2500,11.004
2.0080321285140563,3000,10.968
2.0080321285140563,3500,10.72
2.0080321285140563,4000,11.484
2.0080321285140563,4500,11.252
2.0080321285140563,5000,10.896
2.0080321285140563,5500,11.24
2.0080321285140563,6000,10.956
2.0080321285140563,6500,11.404
2.0080321285140563,7000,11.072
2.0080321285140563,7500,10.936
2.0080321285140563,8000,10.508
2.0080321285140563,8500,10.652
2.0080321285140563,9000,10.932
2.0080321285140563,9500,10.972
2.0080321285140563,10000,11.432
4.016064257028113,2000,20.276
4.016064257028113,2500,20.16
4.016064257028113,3000,20.436
4.016064257028113,3500,19.752
4.016064257028113,4000,20.008
4.016064257028113,4500,20.412
4.016064257028113,5000,20.1
4.016064257028113,5500,19.896
4.016064257028113,6000,19.74
4.016064257028113,6500,20.064
4.016064257028113,7000,19.528
4.016064257028113,7500,20.128
4.016064257028113,8000,19.66
4.016064257028113,8500,20.244
4.016064257028113,9000,20.936
4.016064257028113,9500,19.556
4.016064257028113,10000,20.192
6.024096385542169,2000,29.752
6.024096385542169,2500,29.844
6.024096385542169,3000,28.792
6.024096385542169,3500,30.012
6.024096385542169,4000,28.956
6.024096385542169,4500,29.5
6.024096385542169,5000,29.024
6.024096385542169,5500,29.208
6.024096385542169,6000,29.016
6.024096385542169,6500,28.704
6.024096385542169,7000,29.308
6.024096385542169,7500,28.8
6.024096385542169,8000,28.848
6.024096385542169,8500,28.768
6.024096385542169,9000,28.408
6.024096385542169,9500,28.888
6.024096385542169,10000,29.388
8.032128514056225,2000,38.328
8.032128514056225,2500,38.048
8.032128514056225,3000,37.9
8.032128514056225,3500,38.636
8.032128514056225,4000,38.064
8.032128514056225,4500,37.124
8.032128514056225,5000,36.892
8.032128514056225,5500,38.884
8.032128514056225,6000,38.408
8.032128514056225,6500,38.516
8.032128514056225,7000,38.62
8.032128514056225,7500,38.548
8.032128514056225,8000,38.864
8.032128514056225,8500,38.352
8.032128514056225,9000,37.248
8.032128514056225,9500,38.848
8.032128514056225,10000,38.108
10.040160642570282,2000,47.624
10.040160642570282,2500,46.788
10.040160642570282,3000,46.3
10.040160642570282,3500,46.508
10.040160642570282,4000,47.364
10.040160642570282,4500,47.864
10.040160642570282,5000,46.352
10.040160642570282,5500,46.944
10.040160642570282,6000,46.852
10.040160642570282,6500,47.528
10.040160642570282,7000,46.968
10.040160642570282,7500,47.58
10.040160642570282,8000,48.124
10.040160642570282,8500,46.44
10.040160642570282,9000,46.872
10.040160642570282,9500,47.432
10.040160642570282,10000,47.964
12.048192771084338,2000,55.208
12.048192771084338,2500,57.712
12.048192771084338,3000,55.492
12.048192771084338,3500,57.016
12.048192771084338,4000,57.16
12.048192771084338,4500,55.44
12.048192771084338,5000,56.256
12.048192771084338,5500,57.372
12.048192771084338,6000,56.488
12.048192771084338,6500,55.74
12.048192771084338,7000,55.632
12.048192771084338,7500,56.396
12.048192771084338,8000,56.796
12.048192771084338,8500,56.012
12.048192771084338,9000,57.024
12.048192771084338,9500,54.716
12.048192771084338,10000,57.124
14.056224899598394,2000,63.628
14.056224899598394,2500,62.716
14.056224899598394,3000,64.988
14.056224899598394,3500,64.164
14.056224899598394,4000,65.396
14.056224899598394,4500,64.26
14.056224899598394,5000,64.66
14.056224899598394,5500,66.088
14.056224899598394,6000,64.104
14.056224899598394,6500,64.676
14.056224899598394,7000,64.836
14.056224899598394,7500,66.404
14.056224899598394,8000,64.652
14.056224899598394,8500,64.648
14.056224899598394,9000,64.76
14.056224899598394,9500,65.064
14.056224899598394,10000,67.424
16.06425702811245,2000,73.404
16.06425702811245,2500,72.192
16.06425702811245,3000,74.336
16.06425702811245,3500,74.104
16.06425702811245,4000,73.688
16.06425702811245,4500,74.104
16.06425702811245,5000,73.864
16.06425702811245,5500,74.388
16.06425702811245,6000,75.156
16.06425702811245,6500,75.08
16.06425702811245,7000,74.932
16.06425702811245,7500,73.464
16.06425702811245,8000,72.9
16.06425702811245,8500,74.024
16.06425702811245,9000,75.644
16.06425702811245,9500,75.036
16.06425702811245,10000,74.128
18.072289156626507,2000,82.044
18.072289156626507,2500,81.892
18.072289156626507,3000,81.668
18.072289156626507,3500,84.084
18.072289156626507,4000,83.056
18.072289156626507,4500,82.572
18.072289156626507,5000,82.848
18.072289156626507,5500,83.584
18.072289156626507,6000,82.516
18.072289156626507,6500,83.744
18.072289156626507,7000,83.948
18.072289156626507,7500,84.456
18.072289156626507,8000,82.592
18.072289156626507,8500,82.16
18.072289156626507,9000,82.16
18.072289156626507,9500,83.816
18.072289156626507,10000,83.876
20.080321285140563,2000,89.548
20.080321285140563,2500,90.26
20.080321285140563,3000,92.076
20.080321285140563,3500,92.168
20.080321285140563,4000,92.016
20.080321285140563,4500,91.036
20.080321285140563,5000,93.12
20.080321285140563,5500,91.528
20.080321285140563,6000,92.644
20.080321285140563,6500,91.752
20.080321285140563,7000,92.112
20.080321285140563,7500,92.676
20.080321285140563,8000,90.92
20.080321285140563,8500,92.456
20.080321285140563,9000,91.28
20.080321285140563,9500,92.404
20.080321285140563,10000,93.38
22.08835341365462,2000,99.68
22.08835341365462,2500,100.732
22.08835341365462,3000,100.372
22.08835341365462,3500,100.536
22.08835341365462,4000,99.572
22.08835341365462,4500,101.208
22.08835341365462,5000,101.056
22.08835341365462,5500,100.512
22.08835341365462,6000,102.1
22.08835341365462,6500,99.628
22.08835341365462,7000,101.616
22.08835341365462,7500,100.58
22.08835341365462,8000,100.516
22.08835341365462,8500,100.384
22.08835341365462,9000,101.476
22.08835341365462,9500,101.012
22.08835341365462,10000,101.56
24.096385542168676,2000,107.164
24.096385542168676,2500,107.568
24.096385542168676,3000,108.024
24.096385542168676,3500,109.252
24.096385542168676,4000,109.612
24.096385542168676,4500,109.148
24.096385542168676,5000,110.452
24.096385542168676,5500,107.424
24.096385542168676,6000,109.812
24.096385542168676,6500,109.796
24.096385542168676,7000,109.256
24.096385542168676,7500,109.236
24.096385542168676,8000,110.06
24.096385542168676,8500,110.54
24.096385542168676,9000,111.028
24.096385542168676,9500,110.56
24.096385542168676,10000,110.588
26.104417670682732,2000,114.44
26.104417670682732,2500,117.804
26.104417670682732,3000,117.312
26.104417670682732,3500,117.176
26.104417670682732,4000,116.94
26.104417670682732,4500,119.652
26.104417670682732,5000,119.892
26.104417670682732,5500,118.0
26.104417670682732,6000,119.072
26.104417670682732,6500,120.62
26.104417670682732,7000,119.348
26.104417670682732,7500,118.404
26.104417670682732,8000,119.368
26.104417670682732,8500,120.06
26.104417670682732,9000,118.388
26.104417670682732,9500,120.376
26.104417670682732,10000,120.856
28.11244979919679,2000,124.36
28.11244979919679,2500,124.34
28.11244979919679,3000,126.728
28.11244979919679,3500,124.504
28.11244979919679,4000,126.732
28.11244979919679,4500,128.012
28.11244979919679,5000,126.46
28.11244979919679,5500,127.824
28.11244979919679,6000,128.104
28.11244979919679,6500,128.88
28.11244979919679,7000,126.404
28.11244979919679,7500,126.548
28.11244979919679,8000,126.828
28.11244979919679,8500,128.22
28.11244979919679,9000,127.164
28.11244979919679,9500,127.164
28.11244979919679,10000,127.76
30.120481927710845,2000,132.616
30.120481927710845,2500,134.548
30.120481927710845,3000,133.652
30.120481927710845,3500,134.228
30.120481927710845,4000,135.676
30.120481927710845,4500,134.772
30.120481927710845,5000,133.62
30.120481927710845,5500,136.868
30.120481927710845,6000,136.192
30.120481927710845,6500,136.076
30.120481927710845,7000,136.708
30.120481927710845,7500,136.756
30.120481927710845,8000,138.252
30.120481927710845,8500,135.352
30.120481927710845,9000,136.428
30.120481927710845,9500,137.648
30.120481927710845,10000,136.984
32.1285140562249,2000,141.224
32.1285140562249,2500,143.188
32.1285140562249,3000,142.252
32.1285140562249,3500,143.496
32.1285140562249,4000,144.216
32.1285140562249,4500,144.884
32.1285140562249,5000,143.852
32.1285140562249,5500,146.072
32.1285140562249,6000,143.252
32.1285140562249,6500,145.584
32.1285140562249,7000,146.516
32.1285140562249,7500,146.568
32.1285140562249,8000,146.972
32.1285140562249,8500,145.408
32.1285140562249,9000,144.12
32.1285140562249,9500,146.432
32.1285140562249,10000,147.688
34.13654618473896,2000,148.676
34.13654618473896,2500,150.268
34.13654618473896,3000,152.4
34.13654618473896,3500,151.832
34.13654618473896,4000,153.448
34.13654618473896,4500,151.644
34.13654618473896,5000,154.192
34.13654618473896,5500,154.556
34.13654618473896,6000,153.688
34.13654618473896,6500,155.708
34.13654618473896,7000,156.172
34.13654618473896,7500,153.312
34.13654618473896,8000,153.872
34.13654618473896,8500,153.652
34.13654618473896,9000,154.868
34.13654618473896,9500,155.596
34.13654618473896,10000,153.832
36.144578313253014,2000,160.232
36.144578313253014,2500,162.252
36.144578313253014,3000,161.004
36.144578313253014,3500,163.032
36.144578313253014,4000,161.74
36.144578313253014,4500,163.28
36.144578313253014,5000,160.908
36.144578313253014,5500,161.42
36.144578313253014,6000,166.232
36.144578313253014,6500,163.064
36.144578313253014,7000,161.1
36.144578313253014,7500,161.912
36.144578313253014,8000,161.688
36.144578313253014,8500,162.776
36.144578313253014,9000,164.392
36.144578313253014,9500,162.952
36.144578313253014,10000,164.284
38.15261044176707,2000,169.56
38.15261044176707,2500,166.488
38.15261044176707,3000,169.824
38.15261044176707,3500,168.228
38.15261044176707,4000,172.052
38.15261044176707,4500,170.948
38.15261044176707,5000,170.38
38.15261044176707,5500,174.416
38.15261044176707,6000,171.836
38.15261044176707,6500,172.212
38.15261044176707,7000,172.808
38.15261044176707,7500,170.64
38.15261044176707,8000,170.008
38.15261044176707,8500,172.036
38.15261044176707,9000,172.976
38.15261044176707,9500,172.18
38.15261044176707,10000,172.312
40.16064257028113,2000,174.588
40.16064257028113,2500,178.164
40.16064257028113,3000,177.528
40.16064257028113,3500,179.872
40.16064257028113,4000,176.332
40.16064257028113,4500,180.468
40.16064257028113,5000,181.28
40.16064257028113,5500,179.188
40.16064257028113,6000,182.628
40.16064257028113,6500,180.344
40.16064257028113,7000,180.628
40.16064257028113,7500,182.044
40.16064257028113,8000,181.092
40.16064257028113,8500,180.588
40.16064257028113,9000,182.504
40.16064257028113,9500,182.208
40.16064257028113,10000,180.664
42.168674698795186,2000,183.652
42.168674698795186,2500,186.508
42.168674698795186,3000,187.596
42.168674698795186,3500,186.948
42.168674698795186,4000,188.724
42.168674698795186,4500,186.504
42.168674698795186,5000,189.496
42.168674698795186,5500,189.172
42.168674698795186,6000,190.876
42.168674698795186,6500,189.552
42.168674698795186,7000,189.328
42.168674698795186,7500,188.28
42.168674698795186,8000,190.296
42.168674698795186,8500,189.504
42.168674698795186,9000,190.172
42.168674698795186,9500,191.836
42.168674698795186,10000,192.752
44.17670682730924,2000,192.152
44.17670682730924,2500,193.708
